participant_id,consent,important,science_class,theology_class,accept,gov_funding,who_funded,replicated,belief_likert,attention_check,reading_check,sex,age,done_before,explained_belief,condition,presence,composite_trust,theism,attention_correct
R_1LoiIYTREg5cfPL,consent,1,2,-2,2,2,1,-0,1,dax,5,male,26,no,atheism,abnormal,possess,0.8571428571428571,theist,TRUE
R_5mzLz47cF9rtVid,consent,2,2,2,2,0,-2,-3,0,dax,2356,male,63,no,atheism,abnormal,lack,0.42857142857142855,neither,TRUE
R_0C9pIbhKnxcs5nf,consent,1,2,2,2,2,-1,-3,-2,Dax,6,female,28,no,god,normal,lack,0.7142857142857143,atheist,TRUE
R_b49NIjSGRO3v5kh,consent,1,2,2,1,2,-3,-3,3,dax,6,male,22,no,atheism,normal,possess,0.2857142857142857,theist,TRUE
R_7PTiPUuNDf52g9D,consent,2,2,-1,2,-1,-2,-2,-3,dax,6,female,33,no,god,abnormal,lack,0,atheist,TRUE
R_8tUpGjXZUilGvit,consent,3,1,2,2,0,-3,-3,1,dax,6,female,27,maybe,god,normal,lack,0.2857142857142857,theist,TRUE
R_6FM63tASxY13clT,consent,2,2,2,2,0,2,-2,0,dax,2,female,27,no,god,normal,lack,1.1428571428571428,neither,TRUE
R_cVoSxNGYjbdvPpz,consent,0,0,0,1,2,1,-1,2,dax,6,female,30,no,atheism,abnormal,possess,0.42857142857142855,theist,TRUE
R_0k6jLjGMcawenv7,consent,-3,-3,1,-3,-3,-1,-1,3,dax,26,female,23,no,atheism,abnormal,possess,-1.8571428571428572,theist,TRUE
R_6fZAXfeldAA50k5,consent,0,0,-2,-3,-3,-3,-3,0,dax,2,male,25,NA,atheism,abnormal,possess,-2,neither,TRUE
R_72lpMWiap3I5f25,consent,0,0,0,-2,-3,-3,-3,2,dax,0,male,43,no,atheism,normal,possess,-1.5714285714285714,theist,TRUE
R_aVSKN8IbUIPGfFH,consent,2,1,-1,1,3,1,-3,0,dax,0,female,25,no,atheism,normal,lack,0.5714285714285714,neither,TRUE
R_03aYVl5ePAXHttz,consent,-3,1,-2,1,-3,2,2,-2,dax,5,male,41,no,god,abnormal,lack,-0.2857142857142857,atheist,TRUE
R_aWr5KmWSA3CpJWZ,consent,1,2,2,2,2,-3,-3,1,dax,5,male,32,no,god,abnormal,possess,0.42857142857142855,theist,TRUE
R_0e05Hf6Mz1PXS1D,consent,2,1,1,-1,1,-2,-3,2,dax,6,female,36,no,god,normal,possess,-0.14285714285714285,theist,TRUE
R_dhxNqmRcpibVY1v,consent,1,2,1,1,0,-3,-3,-3,dax,6,female,27,no,atheism,abnormal,lack,-0.14285714285714285,atheist,TRUE
R_eDPczOnTQKQtsnr,consent,0,0,0,0,0,-2,-1,0,dax,6,female,34,no,atheism,abnormal,lack,-0.42857142857142855,neither,TRUE
R_37xFwJvTBREIW8t,consent,1,2,2,1,2,-2,-2,1,dax,2,male,27,no,god,normal,possess,0.5714285714285714,theist,TRUE
R_6s63IbcAm6kuDDn,consent,-2,-3,-3,-3,-2,-1,3,3,dax,2,male,25,no,god,normal,possess,-1.5714285714285714,theist,TRUE
R_7OtVjZNr7i8CO4B,consent,1,1,0,2,0,-1,-1,2,dax,6,male,26,no,god,normal,possess,0.2857142857142857,theist,TRUE
R_bqGtFC765Fo6XAx,consent,-1,0,0,-1,-2,-2,-2,2,dax,6,female,24,no,atheism,abnormal,lack,-1.1428571428571428,theist,TRUE
R_ctBOR4Np79Yf7vL,consent,1,1,1,0,1,-0,-2,0,dax,5,male,23,no,god,abnormal,possess,0.2857142857142857,neither,TRUE
R_eQi1mCV4Ew3Jelv,consent,1,1,1,1,0,-0,-1,1,dax,6,male,25,no,atheism,normal,lack,0.42857142857142855,theist,TRUE
R_e8m7t7Egl8GZVhX,consent,NA,1,1,-1,1,-1,-1,-1,dax,6,male,23,no,atheism,abnormal,lack,NA,atheist,TRUE
R_6WsekKD85a3zUWN,consent,2,0,0,1,1,-1,-2,0,dax,0,male,27,no,atheism,normal,lack,0.14285714285714285,neither,TRUE
R_eECLGAgiYH0E3UV,consent,-3,-3,-3,-3,-3,-3,-2,3,dax,6,female,33,no,god,abnormal,possess,-2.857142857142857,theist,TRUE
R_3mzdqInsycKVxaJ,consent,2,2,2,2,0,-2,-3,3,dax,0,female,43,no,atheism,abnormal,possess,0.42857142857142855,theist,TRUE
R_cYZgLVsL7sHEiEd,consent,3,0,1,2,3,-2,-2,-3,dax,3,male,28,no,god,normal,lack,0.7142857142857143,atheist,TRUE
R_4Zu5uHDk5DC9hHf,consent,1,0,0,1,1,-0,-1,1,dax,6,male,28,no,atheism,abnormal,lack,0.2857142857142857,theist,TRUE
R_0GRfR9foNNjAfEp,consent,0,-2,-2,-3,-3,-3,-3,-3,dax,0,female,29,no,god,normal,possess,-2.2857142857142856,atheist,TRUE
R_25hDAY6YZ2cFyWF,consent,-1,1,-1,-1,-1,-2,-3,3,dax,2,female,49,no,atheism,abnormal,lack,-1.1428571428571428,theist,TRUE
R_6nWfnG89Ff9tz8N,consent,1,1,3,2,1,-1,-2,-1,dax,6,female,24,no,god,normal,lack,0.7142857142857143,atheist,TRUE
R_bxA0qzhG9syIxlr,consent,1,1,-2,-1,-1,-3,-3,1,dax,235,female,35,no,atheism,abnormal,possess,-1.1428571428571428,theist,TRUE
R_bBNDTL09ac3JTNP,consent,2,1,1,1,0,-3,-3,1,dax,6,female,39,maybe,god,abnormal,lack,-0.14285714285714285,theist,TRUE
R_9oGLFFWSLZnTyEB,consent,0,0,0,0,1,-1,-2,0,dax,6,male,32,maybe,atheism,normal,possess,-0.2857142857142857,neither,TRUE
R_6MqMTB49nKsqB93,consent,-1,2,-1,0,-2,-3,-3,2,dax,235,male,32,no,god,abnormal,possess,-1.1428571428571428,theist,TRUE
R_9H68ad5CqMllHyB,consent,-3,-3,-3,-3,-3,3,3,0,dax,2,male,31,no,atheism,normal,lack,-1.2857142857142858,neither,TRUE
R_0DSJ0eNlGOihnHn,consent,-1,1,-1,1,0,-1,-1,-1,dax,6,female,31,no,atheism,abnormal,lack,-0.2857142857142857,atheist,TRUE
R_3CQYlv0A1on1YeV,consent,2,3,1,2,2,-2,-3,-2,dax,6,female,28,no,god,abnormal,possess,0.7142857142857143,atheist,TRUE
R_9sEWfFSkBJ6sd7L,consent,1,2,1,0,0,-1,-3,3,dax,6,female,41,NA,atheism,normal,lack,0,theist,TRUE
R_bdSWAeAMXErIi7H,consent,0,0,-2,-1,-1,-0,-1,3,dax,2,female,43,no,god,abnormal,lack,-0.7142857142857143,theist,TRUE
R_55vr8wyPqV3WJGl,consent,-3,-3,-3,-3,-3,-3,-3,3,NA,0,male,44,no,atheism,normal,possess,-3,theist,FALSE
R_0lijD9ITdLPE2GN,consent,2,1,1,-1,-1,-2,-2,2,dax,6,female,24,no,atheism,abnormal,lack,-0.2857142857142857,theist,TRUE
R_1SRrPWKpzJPIdPT,consent,2,-2,-2,-3,-2,-3,-3,0,dax,6,female,29,no,god,abnormal,lack,-1.8571428571428572,neither,TRUE
R_08OmoaMaru2yO1v,consent,1,2,1,1,1,-3,-2,-3,dax,6,female,24,no,god,normal,possess,0.14285714285714285,atheist,TRUE
R_el2j2FvB4xPs7e5,consent,3,1,1,-2,-2,-2,-2,-1,dax,0,female,52,no,god,normal,possess,-0.42857142857142855,atheist,TRUE
R_6nw9rXHjNufTds1,consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,god,normal,lack,NA,NA,FALSE
R_cZmGtUqsgfTfDqR,consent,-3,1,1,0,-2,-3,-2,-2,dax,6,female,34,no,atheism,abnormal,lack,-1.1428571428571428,atheist,TRUE
R_cXWMviwBRtJ209D,consent,-2,0,0,-2,1,-2,-3,-1,dax,6,female,38,no,atheism,normal,possess,-1.1428571428571428,atheist,TRUE
R_2fRl5Ap2rhxUjgp,consent,3,1,1,3,3,-3,-3,0,dax,6,male,46,no,god,abnormal,lack,0.7142857142857143,neither,TRUE
R_aVhW3JWDkrldlk1,consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,god,normal,possess,NA,NA,FALSE
R_ePvbEazjiyAXbEN,consent,0,-3,-3,-3,-3,3,3,-3,dax,2,female,31,no,god,abnormal,possess,-0.8571428571428571,atheist,TRUE
R_2nJ5nAImIWHsSjP,consent,2,2,2,3,2,-2,-3,3,dax,2356,female,27,no,atheism,normal,lack,0.8571428571428571,theist,TRUE
R_20tercWYOdqfact,consent,1,1,1,0,-1,-1,-2,2,dax,6,female,41,no,atheism,abnormal,possess,-0.14285714285714285,theist,TRUE
R_1AXVUVGysgFmgp7,consent,-1,1,1,1,1,-1,-2,-1,dax,3,NA,NA,NA,god,normal,possess,0,atheist,TRUE
R_cv8KRfExkKj1PuZ,consent,-2,-1,2,0,-3,-1,-3,1,dax,6,female,37,no,god,normal,possess,-1.1428571428571428,theist,TRUE
R_8Cco8ng2ZdAm3ch,consent,-3,-3,-3,-3,-3,3,3,3,dax,3,female,22,no,god,normal,lack,-1.2857142857142858,theist,TRUE
R_0wRIMkjwCxey67X,consent,1,0,0,2,1,-1,-1,-1,dax,6,female,29,no,atheism,abnormal,lack,0.2857142857142857,atheist,TRUE
R_9ZFfJ3UUyrSl6u1,consent,2,-3,-3,-1,-3,-3,-2,-3,dax,6,male,57,no,god,abnormal,lack,-1.8571428571428572,atheist,TRUE
R_38zoBTn8Kydg9XT,consent,2,1,-2,-3,-3,2,-2,0,NA,0,NA,NA,NA,atheism,normal,possess,-0.7142857142857143,neither,FALSE
R_e2oYCmzRURd0LMF,consent,-2,-2,-2,-2,-2,-3,-3,3,dax,235,female,33,no,atheism,normal,possess,-2.2857142857142856,theist,TRUE
R_9NuVQ0T4fMWfNLD,consent,1,-1,1,0,-3,-3,-1,2,dax,6,male,29,no,god,normal,possess,-0.8571428571428571,theist,TRUE
R_eRiBYey0uHQJGHH,consent,2,2,0,1,-2,-2,-3,2,dax,6,male,24,no,atheism,abnormal,lack,-0.2857142857142857,theist,TRUE
R_eFpvtBBE6RO6VuZ,consent,1,0,2,0,-2,-2,-2,2,NA,6,female,28,no,god,normal,possess,-0.42857142857142855,theist,FALSE
R_25JQAK0iv53qo9D,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
