participant_id,consent,michael_should,you_should,michael_would,you_would,germ_theory,evolution,god,soulmate,murder_wrong,vegetarianism,attention_check,done_before,sex,age,valence,domain,prevalence,own_belief,condition,agrees_with_michael,common_avg,rare_avg,pass_check
R_5BkkaPHKCjf57cV,consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_6EFjb2dZbdVrEln,consent,2,-2,3,-2,99,40,97,75,100,10,dax,no,male,32,2,moral,rare,-3,reliable,FALSE,98.66666666666667,41.666666666666664,TRUE
R_5pYVShorFp4y4y9,consent,2,2,2,2,66,66,55,44,77,22,dax,no,male,26,2,scientific,common,3,neutral,TRUE,66,44,TRUE
R_8CDUTiVuxnhwYQJ,consent,0,-0,0,-0,100,45,65,40,100,10,dax,no,male,33,2,religious,rare,-1,neutral,FALSE,88.33333333333333,31.666666666666668,TRUE
R_3jxAaeG4AM9fWFT,consent,0,0,1,0,97,35,55,25,92,5,dax,no,male,29,2,scientific,rare,2,reliable,TRUE,81.33333333333333,21.666666666666668,TRUE
R_8q400YC9hCu3ZTn,consent,0,0,-1,0,100,50,90,60,100,1,dax,no,male,31,1,moral,common,3,unreliable,TRUE,96.66666666666667,37,TRUE
R_eDnCs9YcW1qE21v,consent,-1,-0,-1,-0,97,60,70,60,90,5,dax,no,male,31,1,religious,rare,-3,unreliable,FALSE,85.66666666666667,41.666666666666664,TRUE
R_5pRxptvMzywUnoV,consent,1,1,2,-0,90,60,70,50,100,20,dax,no,male,52,2,religious,common,-2,reliable,FALSE,86.66666666666667,43.333333333333336,TRUE
R_7TGLjchq3MDNtcx,consent,0,0,0,0,100,40,80,70,95,5,dax,no,female,22,2,moral,common,3,neutral,TRUE,91.66666666666667,38.333333333333336,TRUE
R_08TPFhcJ3Mdm82F,consent,3,3,3,3,98,52,69,73,85,26,dax,no,male,22,1,religious,common,3,neutral,TRUE,84,50.333333333333336,TRUE
R_5tdA53jToObUrLD,consent,2,3,1,3,70,50,90,50,100,25,dax,no,female,20,1,scientific,common,3,reliable,TRUE,86.66666666666667,41.666666666666664,TRUE
R_8nZ5un9p2BTZR9X,consent,0,0,1,0,95,60,85,40,97,10,dax,no,female,21,2,scientific,common,3,neutral,TRUE,92.33333333333333,36.666666666666664,TRUE
R_9Y8KYZSmJZ8bqRv,consent,2,-3,2,-3,100,50,85,40,100,25,dax,no,female,45,1,moral,rare,0,unreliable,FALSE,95,38.333333333333336,TRUE
R_a5mDnpJd8RW6i6p,consent,0,-0,0,-0,99,80,85,50,95,30,dax,no,male,29,2,moral,rare,-3,unreliable,FALSE,93,53.333333333333336,TRUE
R_85GPx74MltMtjtr,consent,0,-0,0,-0,75,50,75,50,80,35,dax,no,female,34,1,scientific,rare,0,reliable,FALSE,76.66666666666667,45,TRUE
R_5nUWHCDInLEwTkh,consent,0,-0,0,-0,85,50,68,48,99,25,dax,no,male,28,1,religious,common,-2,reliable,FALSE,84,41,TRUE
R_3mJlNKZI4QEQnml,consent,0,0,0,0,95,60,70,50,95,5,dax,no,male,33,2,scientific,rare,3,unreliable,TRUE,86.66666666666667,38.333333333333336,TRUE
R_8wU2Hx8NA3RoMMl,consent,1,-1,1,1,90,50,50,50,90,40,dax,no,male,28,1,moral,common,0,unreliable,FALSE,76.66666666666667,46.666666666666664,TRUE
R_cHI1ekmnrx6XZ2d,consent,1,-0,0,-0,90,50,70,50,90,5,dax,maybe,male,30,2,religious,rare,-2,reliable,FALSE,83.33333333333333,35,TRUE
R_4MzDrOoC32OBTjT,consent,1,1,0,1,100,75,100,90,100,60,NA,no,female,46,2,religious,common,3,neutral,TRUE,100,75,FALSE
R_bDk3C3DBdJ8VCzX,consent,3,3,3,3,75,65,70,70,95,25,dax,no,male,49,2,moral,common,3,neutral,TRUE,80,53.333333333333336,TRUE
R_8eHMobSjgJhcwtf,consent,-3,3,0,1,95,50,85,70,85,10,dax,no,female,29,1,religious,rare,-3,neutral,FALSE,88.33333333333333,43.333333333333336,TRUE
R_3WbTAkBgfWFcWr3,consent,1,2,1,1,70,20,60,50,40,10,dax,no,male,21,2,religious,common,3,reliable,TRUE,56.666666666666664,26.666666666666668,TRUE
R_8pPuAMyW3g2oECN,consent,-2,2,1,-0,85,50,51,25,95,10,dax,no,female,61,1,scientific,rare,-3,unreliable,FALSE,77,28.333333333333332,TRUE
R_bm89m7Incp4PpvT,consent,2,-2,2,-1,97,45,78,15,99,21,dax,no,male,24,1,religious,common,0,reliable,FALSE,91.33333333333333,27,TRUE
R_efBilaj3CuVQnYh,consent,0,-0,0,-0,80,40,50,45,75,25,dax,no,female,45,2,moral,rare,-3,neutral,FALSE,68.33333333333333,36.666666666666664,TRUE
R_3laR2u8dDoaAKb3,consent,0,0,0,0,60,30,75,20,100,15,dax,no,female,51,1,moral,common,3,unreliable,TRUE,78.33333333333333,21.666666666666668,TRUE
R_eD4fdoBxHV2MRHD,consent,2,0,2,0,95,65,80,15,100,3,dax,no,male,46,1,scientific,common,3,reliable,TRUE,91.66666666666667,27.666666666666668,TRUE
R_56bTusub5PaMzBz,consent,0,-0,-1,-0,100,20,84,85,100,22,dax,no,male,30,1,religious,rare,-3,unreliable,FALSE,94.66666666666667,42.333333333333336,TRUE
R_1TbfcUS8pLsRQIR,consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,religious,rare,-3,reliable,FALSE,NA,NA,FALSE
R_dpoZIKKpIqrxfcp,consent,0,0,0,0,90,40,82,67,98,10,dax,no,male,27,2,scientific,rare,3,reliable,TRUE,90,39,TRUE
