participant_id,consent,belief_in_god,conf_in_existing,heard_of_existing,michael_should,michael_would,plausible,realistic,common_check,proper_check,agree_check,done_before,sex,age,common,proper,theism,pass.common,pass.proper,pass.agree
R_2aRBktl2RcCn6q7,consent,3,7,4,3,3,0,2,2,1,1,no,male,54,common,improper,theist,FALSE,FALSE,TRUE
R_23836u6DnXCu3CP,consent,1,6,3,1,1,1,1,1,1,1,no,male,25,common,proper,theist,TRUE,TRUE,TRUE
R_3khcJyNAlBiNsmO,consent,3,7,1,0,0,2,2,1,1,1,no,female,22,common,proper,theist,TRUE,TRUE,TRUE
R_3j98XjHrgPb7mMy,consent,-3,7,2,0,0,2,0,3,1,1,maybe,male,52,uncommon,proper,atheist,FALSE,TRUE,TRUE
R_1etMIx0wRBHmtzR,consent,3,7,2,3,3,-3,-3,1,1,1,no,female,32,uncommon,improper,theist,FALSE,FALSE,TRUE
R_3ikUQVyvhkT9N16,consent,-3,1,4,2,2,0,-2,2,1,1,no,male,62,common,proper,atheist,FALSE,TRUE,TRUE
R_cvuIS1XpingGql3,consent,-3,2,4,-2,0,-2,-1,1,2,1,no,female,60,common,improper,atheist,TRUE,TRUE,TRUE
R_30350NTl5DwBFre,consent,3,5,4,0,-2,1,2,3,1,1,no,female,55,uncommon,proper,theist,FALSE,TRUE,TRUE
R_2Qh7foYpvRORJkn,consent,2,3,4,0,0,-1,-1,3,1,1,no,female,42,uncommon,proper,theist,FALSE,TRUE,TRUE
R_2tyVlA5hIriKUqp,consent,-1,1,4,0,0,-3,-3,1,1,2,no,female,27,uncommon,improper,atheist,FALSE,FALSE,FALSE
R_2s5D6jAk6Hul0YB,consent,3,7,4,0,0,-3,-2,2,2,2,no,female,28,common,improper,theist,FALSE,TRUE,FALSE
R_323MoY0v3k17xAV,consent,2,5,3,1,1,1,0,1,2,1,no,male,35,common,improper,theist,TRUE,TRUE,TRUE
R_3KrcmqvqLHdewOc,consent,0,4,4,-2,-1,0,0,4,2,2,no,female,25,uncommon,improper,neither,TRUE,TRUE,FALSE
R_1fkFO5wmKFXSTii,consent,2,5,4,-1,-1,-1,-1,1,2,1,no,female,65,uncommon,improper,theist,FALSE,TRUE,TRUE
R_1Eb5bFNbAJfNKJL,consent,-3,1,4,-1,1,-3,-3,2,2,2,no,male,35,common,improper,atheist,FALSE,TRUE,FALSE
R_29nMNJZjmGSUSie,consent,-3,1,3,1,1,2,2,1,1,1,no,male,20,common,proper,atheist,TRUE,TRUE,TRUE
R_3s1hSgh8D32VrnK,consent,-3,4,4,0,0,0,1,4,1,1,no,male,34,uncommon,proper,atheist,TRUE,TRUE,TRUE
R_UxNvKLyp0rGcpTX,consent,3,5,4,0,0,-2,-2,3,1,1,no,male,32,uncommon,proper,theist,FALSE,TRUE,TRUE
R_1prMqPeGmFnkwJk,consent,1,2,4,-1,0,1,1,1,2,1,no,female,41,common,improper,theist,TRUE,TRUE,TRUE
R_bJVM2BKEYNJerQd,consent,0,3,4,0,2,-1,-2,1,1,1,no,female,50,common,proper,neither,TRUE,TRUE,TRUE
R_2fBgQl7Um07tvMr,consent,-3,4,4,0,-1,1,1,4,2,1,no,female,29,uncommon,improper,atheist,TRUE,TRUE,TRUE
R_3CGTyGmGfgSnZo2,consent,-3,5,4,0,1,2,1,4,1,1,no,female,31,uncommon,proper,atheist,TRUE,TRUE,TRUE
R_1H1s43fSUjeNOJl,consent,-1,6,4,0,0,1,2,1,2,1,no,male,23,common,improper,atheist,TRUE,TRUE,TRUE
R_3MLqfQ1GBBFlVXS,consent,0,3,4,2,2,-1,-1,1,1,1,no,female,54,common,proper,neither,TRUE,TRUE,TRUE
R_26gQ7gCl2oJphqi,consent,3,7,4,3,3,3,3,4,1,1,no,female,51,uncommon,proper,theist,TRUE,TRUE,TRUE
R_2SdxQALboWkNH3r,consent,-1,5,4,0,0,-2,1,2,1,1,no,male,22,uncommon,improper,atheist,FALSE,FALSE,TRUE
R_AFOyZBUmXZ8AgU1,consent,3,7,4,0,0,-1,-1,4,1,1,no,female,41,uncommon,proper,theist,TRUE,TRUE,TRUE
R_2xSrQg6iAUYs1PX,consent,-2,2,4,-3,-3,2,2,3,2,1,no,female,60,uncommon,improper,atheist,FALSE,TRUE,TRUE
R_2wNuFkwv2jEKmVD,consent,2,5,4,-1,0,1,1,4,1,1,no,male,18,uncommon,proper,theist,TRUE,TRUE,TRUE
R_1i595Cyk2UD26jw,consent,0,5,3,-1,1,1,1,4,2,1,no,male,25,uncommon,improper,neither,TRUE,TRUE,TRUE
R_1Kv7P6teLgPpZNr,consent,3,7,3,2,2,3,2,2,1,1,no,female,25,uncommon,proper,theist,FALSE,TRUE,TRUE
R_1jk3UdNO2CVLula,consent,-1,2,4,1,0,1,1,3,1,2,no,male,29,uncommon,proper,atheist,FALSE,TRUE,FALSE
R_3EGx08bDWq0T4hG,consent,-2,1,4,0,3,-3,1,2,2,1,no,female,25,common,improper,atheist,FALSE,TRUE,TRUE
